date,temperature,above_90th,heatwave
1980-01-01,29.244134521484398,True,True
1980-01-02,31.110681152343773,True,True
1980-01-03,30.219384765625023,True,True
1980-01-04,27.302056884765648,False,False
1980-01-05,28.837518310546898,True,False
1980-01-06,26.972802734375023,False,False
1980-01-07,21.263482666015648,False,False
1980-01-08,17.600823974609398,False,False
1980-01-09,24.334863281250023,False,False
1980-01-10,27.086389160156273,False,False
1980-01-11,26.353753662109398,False,False
1980-01-12,25.879510498046898,False,False
1980-01-13,26.507836914062523,False,False
1980-01-14,27.440087890625023,False,False
1980-01-15,26.477258300781273,False,False
1980-01-16,26.717401123046898,False,False
1980-01-17,25.529351806640648,False,False
1980-01-18,25.519860839843773,False,False
1980-01-19,26.375268554687523,False,False
1980-01-20,26.887994384765648,False,False
1980-01-21,27.562188720703148,False,False
1980-01-22,25.042687988281273,False,False
1980-01-23,17.234307861328148,False,False
1980-01-24,20.333520507812523,False,False
1980-01-25,20.857904052734398,False,False
1980-01-26,23.256219482421898,False,False
1980-01-27,23.553094482421898,False,False
1980-01-28,26.707849121093773,False,False
1980-01-29,26.081048583984398,False,False
1980-01-30,23.831536865234398,False,False
1980-01-31,22.865167236328148,False,False
1980-02-01,23.301263427734398,False,False
1980-02-02,22.942590332031273,False,False
1980-02-03,22.484277343750023,False,False
1980-02-04,23.393945312500023,False,False
1980-02-05,23.534204101562523,False,False
1980-02-06,24.643273925781273,False,False
1980-02-07,25.894982910156273,False,False
1980-02-08,26.420831298828148,False,False
1980-02-09,22.677514648437523,False,False
1980-02-10,22.834100341796898,False,False
1980-02-11,27.284570312500023,False,False
1980-02-12,26.795190429687523,False,False
1980-02-13,26.375299072265648,False,False
1980-02-14,27.717553710937523,False,False
1980-02-15,26.245904541015648,False,False
1980-02-16,28.658471679687523,True,False
1980-02-17,22.226007080078148,False,False
1980-02-18,20.152825927734398,False,False
1980-02-19,22.683892822265648,False,False
1980-02-20,21.868798828125023,False,False
1980-02-21,25.550531005859398,False,False
1980-02-22,23.375604248046898,False,False
1980-02-23,23.131829833984398,False,False
1980-02-24,25.091577148437523,False,False
1980-02-25,26.081750488281273,False,False
1980-02-26,24.391473388671898,False,False
1980-02-27,24.402581787109398,False,False
1980-02-28,25.117608642578148,False,False
1980-02-29,24.679833984375023,False,False
1980-03-01,24.251123046875023,False,False
1980-03-02,24.732293701171898,False,False
1980-03-03,24.160363769531273,False,False
1980-03-04,26.942254638671898,False,False
1980-03-05,24.443872070312523,False,False
1980-03-06,25.268457031250023,False,False
1980-03-07,25.641107177734398,False,False
1980-03-08,27.539849853515648,False,False
1980-03-09,24.443109130859398,False,False
1980-03-10,24.095605468750023,False,False
1980-03-11,21.782617187500023,False,False
1980-03-12,20.321130371093773,False,False
1980-03-13,21.569665527343773,False,False
1980-03-14,22.808374023437523,False,False
1980-03-15,23.722070312500023,False,False
1980-03-16,24.384667968750023,False,False
1980-03-17,22.522393798828148,False,False
1980-03-18,24.289514160156273,False,False
1980-03-19,23.399896240234398,False,False
1980-03-20,23.546350097656273,False,False
1980-03-21,20.682855224609398,False,False
