date,temperature,month
2015-01-01,23.205560302734398,1
2015-01-02,27.280419921875023,1
2015-01-03,27.345056152343773,1
2015-01-04,29.508966064453148,1
2015-01-05,28.946099853515648,1
2015-01-06,29.413934326171898,1
2015-01-07,26.476098632812523,1
2015-01-08,27.389764404296898,1
2015-01-09,27.607354736328148,1
2015-01-10,27.426721191406273,1
2015-01-11,27.662072753906273,1
2015-01-12,27.503717041015648,1
2015-01-13,27.694482421875023,1
2015-01-14,22.854333496093773,1
2015-01-15,25.598565673828148,1
2015-01-16,25.662011718750023,1
2015-01-17,28.964501953125023,1
2015-01-18,23.491357421875023,1
2015-01-19,25.643151855468773,1
2015-01-20,24.748223876953148,1
2015-01-21,26.246606445312523,1
2015-01-22,28.436883544921898,1
2015-01-23,28.696862792968773,1
2015-01-24,28.015924072265648,1
2015-01-25,29.157525634765648,1
2015-01-26,27.933618164062523,1
2015-01-27,28.660028076171898,1
2015-01-28,21.650354003906273,1
2015-01-29,24.356195068359398,1
2015-01-30,25.860101318359398,1
2015-01-31,25.000634765625023,1
2015-02-01,26.674615478515648,2
2015-02-02,28.250268554687523,2
2015-02-03,29.446374511718773,2
2015-02-04,28.975152587890648,2
2015-02-05,29.911645507812523,2
2015-02-06,30.733605957031273,2
2015-02-07,29.755609130859398,2
2015-02-08,29.320184326171898,2
2015-02-09,30.636315917968773,2
2015-02-10,31.112481689453148,2
2015-02-11,31.923425292968773,2
2015-02-12,29.040643310546898,2
2015-02-13,28.902307128906273,2
2015-02-14,28.479791259765648,2
2015-02-15,27.751214599609398,2
2015-02-16,25.921105957031273,2
2015-02-17,25.168725585937523,2
2015-02-18,29.135675048828148,2
2015-02-19,30.658776855468773,2
2015-02-20,30.019158935546898,2
2015-02-21,25.689508056640648,2
2015-02-22,29.719445800781273,2
2015-02-23,26.310754394531273,2
2015-02-24,28.362603759765648,2
2015-02-25,26.409356689453148,2
2015-02-26,26.445062255859398,2
2015-02-27,24.882287597656273,2
2015-02-28,24.504724121093773,2
2015-03-01,25.357263183593773,3
2015-03-02,23.181787109375023,3
2015-03-03,24.961968994140648,3
2015-03-04,27.957513427734398,3
2015-03-05,29.246697998046898,3
2015-03-06,28.978723144531273,3
2015-03-07,24.265832519531273,3
2015-03-08,28.174768066406273,3
2015-03-09,27.427667236328148,3
2015-03-10,28.634332275390648,3
2015-03-11,28.786584472656273,3
2015-03-12,25.630395507812523,3
2015-03-13,28.698693847656273,3
2015-03-14,29.531457519531273,3
2015-03-15,29.987634277343773,3
2015-03-16,29.094018554687523,3
2015-03-17,29.972772216796898,3
2015-03-18,28.229150390625023,3
2015-03-19,25.751428222656273,3
2015-03-20,27.701409912109398,3
2015-03-21,26.551934814453148,3
2015-03-22,21.328912353515648,3
2015-03-23,25.275689697265648,3
2015-03-24,25.034692382812523,3
2015-03-25,23.586145019531273,3
2015-03-26,24.175500488281273,3
2015-03-27,26.422723388671898,3
2015-03-28,24.151635742187523,3
2015-03-29,25.236230468750023,3
2015-03-30,23.583306884765648,3
2015-03-31,23.660943603515648,3
2015-04-01,26.737542724609398,4
2015-04-02,27.863610839843773,4
2015-04-03,25.171441650390648,4
2015-04-04,22.104486083984398,4
2015-04-05,24.532250976562523,4
2015-04-06,26.401330566406273,4
2015-04-07,21.683740234375023,4
2015-04-08,21.921716308593773,4
2015-04-09,22.562463378906273,4
2015-04-10,20.447259521484398,4
2015-04-11,22.506738281250023,4
2015-04-12,23.642449951171898,4
2015-04-13,24.929498291015648,4
2015-04-14,25.687493896484398,4
2015-04-15,25.367608642578148,4
2015-04-16,25.022637939453148,4
2015-04-17,21.951348876953148,4
2015-04-18,18.925500488281273,4
2015-04-19,20.746911621093773,4
2015-04-20,23.069848632812523,4
2015-04-21,25.404656982421898,4
2015-04-22,21.015283203125023,4
2015-04-23,23.996697998046898,4
2015-04-24,20.595361328125023,4
2015-04-25,24.833703613281273,4
2015-04-26,26.523187255859398,4
2015-04-27,25.136224365234398,4
2015-04-28,26.578240966796898,4
2015-04-29,26.105493164062523,4
2015-04-30,25.231683349609398,4
2015-05-01,24.379510498046898,5
2015-05-02,23.783868408203148,5
2015-05-03,25.965570068359398,5
2015-05-04,26.620874023437523,5
2015-05-05,26.873315429687523,5
2015-05-06,27.995324707031273,5
2015-05-07,23.666131591796898,5
2015-05-08,21.927392578125023,5
2015-05-09,24.186059570312523,5
2015-05-10,22.075769042968773,5
2015-05-11,22.130303955078148,5
2015-05-12,22.256890869140648,5
2015-05-13,24.102532958984398,5
2015-05-14,26.454339599609398,5
2015-05-15,27.149224853515648,5
2015-05-16,26.987603759765648,5
2015-05-17,26.274285888671898,5
2015-05-18,23.785668945312523,5
2015-05-19,24.672906494140648,5
2015-05-20,25.613488769531273,5
2015-05-21,24.431298828125023,5
2015-05-22,23.866662597656273,5
2015-05-23,20.075708007812523,5
2015-05-24,22.435662841796898,5
2015-05-25,23.628991699218773,5
2015-05-26,24.809899902343773,5
2015-05-27,25.061059570312523,5
2015-05-28,24.235314941406273,5
2015-05-29,25.683038330078148,5
2015-05-30,25.728265380859398,5
2015-05-31,24.668725585937523,5
2015-06-01,22.462518310546898,6
2015-06-02,20.365625000000023,6
2015-06-03,16.980889892578148,6
2015-06-04,14.054223632812523,6
2015-06-05,15.528314208984398,6
2015-06-06,14.854028320312523,6
2015-06-07,15.801354980468773,6
2015-06-08,18.436639404296898,6
2015-06-09,20.211663818359398,6
2015-06-10,17.683251953125023,6
2015-06-11,14.777215576171898,6
2015-06-12,17.652673339843773,6
2015-06-13,19.605096435546898,6
